                                                   slug  \
0     https://www.coffeereview.com/review/wilton-ben...   
1     https://www.coffeereview.com/review/colombia-c...   
2     https://www.coffeereview.com/review/yirgacheff...   
3     https://www.coffeereview.com/review/colombia-t...   
4     https://www.coffeereview.com/review/panama-gei...   
5     https://www.coffeereview.com/review/panama-gei...   
6     https://www.coffeereview.com/review/panama-gei...   
7     https://www.coffeereview.com/review/ethiopia-h...   
8     https://www.coffeereview.com/review/ethiopia-i...   
9     https://www.coffeereview.com/review/mexico-cup...   
10    https://www.coffeereview.com/review/costa-rica...   
11    https://www.coffeereview.com/review/garden-of-...   
12    https://www.coffeereview.com/review/colombia-f...   
13    https://www.coffeereview.com/review/mexico-la-...   
14    https://www.coffeereview.com/review/ethiopia-r...   
15    https://www.coffeereview.com/review/double-ana...   
16    https://www.coffeereview.com/review/ethiopia-c...   
17    https://www.coffeereview.com/review/ethiopia-h...   
18    https://www.coffeereview.com/review/colombia-p...   
19    https://www.coffeereview.com/review/kenya-kiam...   
20    https://www.coffeereview.com/review/guatemala-...   
21    https://www.coffeereview.com/review/ethiopia-c...   
22    https://www.coffeereview.com/review/tropical-s...   
23    https://www.coffeereview.com/review/festivity-...   
24    https://www.coffeereview.com/review/ethiopia-h...   
25    https://www.coffeereview.com/review/espresso-g...   
26    https://www.coffeereview.com/review/narsha-gesha/   
27    https://www.coffeereview.com/review/ethiopia-y...   
28    https://www.coffeereview.com/review/nicaragua-...   
29    https://www.coffeereview.com/review/ethiopia-w...   
30    https://www.coffeereview.com/review/don-roger-...   
31    https://www.coffeereview.com/review/kenya-gita...   
32    https://www.coffeereview.com/review/costa-rica...   
33    https://www.coffeereview.com/review/yemen-natu...   
34    https://www.coffeereview.com/review/ethiopia-b...   
35    https://www.coffeereview.com/review/ethiopia-y...   
36    https://www.coffeereview.com/review/ethiopia-n...   
37    https://www.coffeereview.com/review/finca-buen...   
38    https://www.coffeereview.com/review/ethiopia-g...   
39    https://www.coffeereview.com/review/bouquet-se...   
40    https://www.coffeereview.com/review/honduras-c...   
41    https://www.coffeereview.com/review/colombia-t...   
42    https://www.coffeereview.com/review/the-gliste...   
43    https://www.coffeereview.com/review/ethiopia-h...   
44    https://www.coffeereview.com/review/el-salvado...   
45    https://www.coffeereview.com/review/alishan-wa...   
46    https://www.coffeereview.com/review/ethiopia-w...   
47    https://www.coffeereview.com/review/alishan-na...   
48    https://www.coffeereview.com/review/guatemala-...   
49    https://www.coffeereview.com/review/honduras-r...   
50    https://www.coffeereview.com/review/guatemala-...   
51    https://www.coffeereview.com/review/guatemala-...   
52    https://www.coffeereview.com/review/el-salvado...   
53    https://www.coffeereview.com/review/el-salvado...   
54    https://www.coffeereview.com/review/panama-mam...   
55    https://www.coffeereview.com/review/guatemala-...   
56    https://www.coffeereview.com/review/nicaragua-...   
57    https://www.coffeereview.com/review/costa-rica...   
58    https://www.coffeereview.com/review/colombia-f...   
59    https://www.coffeereview.com/review/colombia-t...   
60    https://www.coffeereview.com/review/rwanda-cye...   
61    https://www.coffeereview.com/review/ethiopia-g...   
62    https://www.coffeereview.com/review/tinamit-to...   
63    https://www.coffeereview.com/review/finca-patz...   
64    https://www.coffeereview.com/review/proyecto-a...   
65    https://www.coffeereview.com/review/finca-el-p...   
66    https://www.coffeereview.com/review/chacaya-sa...   
67    https://www.coffeereview.com/review/espresso-n...   
68    https://www.coffeereview.com/review/finca-sant...   
69    https://www.coffeereview.com/review/esperanza-...   
70        https://www.coffeereview.com/review/5a-sur-3/   
71    https://www.coffeereview.com/review/5a-ponient...   
72    https://www.coffeereview.com/review/colombia-c...   
73    https://www.coffeereview.com/review/colombia-c...   
74    https://www.coffeereview.com/review/colombia-c...   
75    https://www.coffeereview.com/review/balearic-b...   
76    https://www.coffeereview.com/review/colombia-c...   
77    https://www.coffeereview.com/review/el-triunfo...   
78    https://www.coffeereview.com/review/full-moon-...   
79    https://www.coffeereview.com/review/world-2-0-...   
80    https://www.coffeereview.com/review/ethiopia-s...   
81    https://www.coffeereview.com/review/guatemala-...   
82    https://www.coffeereview.com/review/colombia-l...   
83    https://www.coffeereview.com/review/kona-extra...   
84    https://www.coffeereview.com/review/costa-rica...   
85    https://www.coffeereview.com/review/ecuador-co...   
86    https://www.coffeereview.com/review/burundi-na...   
87    https://www.coffeereview.com/review/peru-gesha...   
88    https://www.coffeereview.com/review/ethiopia-g...   
89    https://www.coffeereview.com/review/taste-bud-...   
90    https://www.coffeereview.com/review/fruit-of-t...   
91    https://www.coffeereview.com/review/papua-new-...   
92    https://www.coffeereview.com/review/kenya-nyer...   
93    https://www.coffeereview.com/review/ethiopia-g...   
94    https://www.coffeereview.com/review/costa-rica...   
95    https://www.coffeereview.com/review/ethiopia-n...   
96    https://www.coffeereview.com/review/colombia-c...   
97    https://www.coffeereview.com/review/symphony-c...   
98    https://www.coffeereview.com/review/goddess-co...   
99    https://www.coffeereview.com/review/colombia-c...   
100   https://www.coffeereview.com/review/costa-rica...   
101   https://www.coffeereview.com/review/memories-o...   
102   https://www.coffeereview.com/review/colombia-e...   
103   https://www.coffeereview.com/review/open-country/   
104   https://www.coffeereview.com/review/backwoods-...   
105   https://www.coffeereview.com/review/costa-rica...   
106   https://www.coffeereview.com/review/guatemala-...   
107   https://www.coffeereview.com/review/taiwan-nat...   
108   https://www.coffeereview.com/review/ethiopia-n...   
109   https://www.coffeereview.com/review/honduras-w...   
110   https://www.coffeereview.com/review/kenya-gath...   
111   https://www.coffeereview.com/review/ethiopia-h...   
112   https://www.coffeereview.com/review/ethiopia-b...   
113   https://www.coffeereview.com/review/ethiopia-b...   
114   https://www.coffeereview.com/review/ethiopia-b...   
115   https://www.coffeereview.com/review/ethiopia-s...   
116   https://www.coffeereview.com/review/shut-eye-d...   
117   https://www.coffeereview.com/review/ethiopia-g...   
118   https://www.coffeereview.com/review/costa-rica...   
119   https://www.coffeereview.com/review/colombia-b...   
120   https://www.coffeereview.com/review/colombia-j...   
121    https://www.coffeereview.com/review/kenya-aa-21/   
122   https://www.coffeereview.com/review/ethiopia-b...   
123   https://www.coffeereview.com/review/kenya-kari...   
124   https://www.coffeereview.com/review/kenya-ichu...   
125   https://www.coffeereview.com/review/costa-rica...   
126   https://www.coffeereview.com/review/birhanu-si...   
127   https://www.coffeereview.com/review/bat-countr...   
128   https://www.coffeereview.com/review/kenya-gich...   
129   https://www.coffeereview.com/review/colombia-c...   
130   https://www.coffeereview.com/review/peru-incah...   
131   https://www.coffeereview.com/review/colombia-a...   
132   https://www.coffeereview.com/review/nicaragua-...   
133   https://www.coffeereview.com/review/ethiopia-b...   
134   https://www.coffeereview.com/review/reina-de-l...   
135   https://www.coffeereview.com/review/ethiopia-g...   
136   https://www.coffeereview.com/review/ethiopia-g...   
137   https://www.coffeereview.com/review/kenya-nyer...   
138   https://www.coffeereview.com/review/blue-ridge...   
139   https://www.coffeereview.com/review/kenya-aa-t...   
140   https://www.coffeereview.com/review/worry-free...   
141   https://www.coffeereview.com/review/purple-tip...   
142         https://www.coffeereview.com/review/kahiko/   
143   https://www.coffeereview.com/review/kenya-ndum...   
144   https://www.coffeereview.com/review/taiwan-ali...   
145   https://www.coffeereview.com/review/ethiopia-g...   
146   https://www.coffeereview.com/review/kenya-ngai...   
147   https://www.coffeereview.com/review/kau-champa...   
148   https://www.coffeereview.com/review/espresso-n...   
149     https://www.coffeereview.com/review/kenya-ab-2/   
150   https://www.coffeereview.com/review/ecuador-pi...   
151   https://www.coffeereview.com/review/vietnam-ro...   
152   https://www.coffeereview.com/review/kenya-nyer...   
153      https://www.coffeereview.com/review/kona-noir/   
154   https://www.coffeereview.com/review/kona-red-b...   
155   https://www.coffeereview.com/review/kenya-wash...   
156   https://www.coffeereview.com/review/ethiopia-n...   
157   https://www.coffeereview.com/review/ethiopia-n...   
158   https://www.coffeereview.com/review/ethiopia-n...   
159   https://www.coffeereview.com/review/rwanda-sho...   
160   https://www.coffeereview.com/review/guatemala-...   
161   https://www.coffeereview.com/review/guatemala-...   
162   https://www.coffeereview.com/review/guatemala-...   
163   https://www.coffeereview.com/review/finca-cerr...   
164   https://www.coffeereview.com/review/mexico-may...   
165   https://www.coffeereview.com/review/chiapas-ch...   
166   https://www.coffeereview.com/review/mexico-chi...   
167   https://www.coffeereview.com/review/capitan-ma...   
168   https://www.coffeereview.com/review/mexico-ozo...   
169   https://www.coffeereview.com/review/mexico-nya...   
170   https://www.coffeereview.com/review/mexico-la-...   
171   https://www.coffeereview.com/review/mexico-fto-3/   
172   https://www.coffeereview.com/review/gachatha-k...   
173   https://www.coffeereview.com/review/geisha-spi...   
174   https://www.coffeereview.com/review/colombia-s...   
175   https://www.coffeereview.com/review/el-duende-...   
176   https://www.coffeereview.com/review/conejo-anejo/   
177   https://www.coffeereview.com/review/colombian-...   
178   https://www.coffeereview.com/review/haitian-ho...   
179   https://www.coffeereview.com/review/sweet-wave...   
180   https://www.coffeereview.com/review/rwanda-aga...   
181   https://www.coffeereview.com/review/ethiopia-y...   
182   https://www.coffeereview.com/review/colombia-p...   
183   https://www.coffeereview.com/review/taiwan-ba-...   
184   https://www.coffeereview.com/review/ethiopia-w...   
185   https://www.coffeereview.com/review/espresso-b...   
186   https://www.coffeereview.com/review/ethiopia-k...   
187        https://www.coffeereview.com/review/kenya-9/   
188           https://www.coffeereview.com/review/peru/   
189   https://www.coffeereview.com/review/san-jose-m...   
190   https://www.coffeereview.com/review/bella-carm...   
191   https://www.coffeereview.com/review/karen-j-ko...   
192   https://www.coffeereview.com/review/nicaragua-...   
193   https://www.coffeereview.com/review/ethiopia-w...   
194   https://www.coffeereview.com/review/colombia-g...   
195   https://www.coffeereview.com/review/ethiopia-g...   
196   https://www.coffeereview.com/review/colombia-d...   
197   https://www.coffeereview.com/review/colombia-f...   
198   https://www.coffeereview.com/review/peru-walth...   
199   https://www.coffeereview.com/review/sumatra-ac...   
200   https://www.coffeereview.com/review/ethiopia-g...   
201   https://www.coffeereview.com/review/ethiopia-d...   
202   https://www.coffeereview.com/review/papua-new-...   
203   https://www.coffeereview.com/review/ethiopia-y...   
204   https://www.coffeereview.com/review/ethiopia-b...   
205   https://www.coffeereview.com/review/ethiopia-s...   
206   https://www.coffeereview.com/review/ethiopia-s...   
207   https://www.coffeereview.com/review/papua-new-...   
208   https://www.coffeereview.com/review/bean-serie...   
209   https://www.coffeereview.com/review/el-salvado...   
210   https://www.coffeereview.com/review/colombia-l...   
211   https://www.coffeereview.com/review/pantan-mus...   
212   https://www.coffeereview.com/review/sumatra-ta...   
213   https://www.coffeereview.com/review/ethiopia-d...   
214   https://www.coffeereview.com/review/colombia-l...   
215   https://www.coffeereview.com/review/vietnam-ca...   
216   https://www.coffeereview.com/review/nano-genji-7/   
217   https://www.coffeereview.com/review/panama-aur...   
218   https://www.coffeereview.com/review/tio-conejo...   
219   https://www.coffeereview.com/review/panama-aur...   
220      https://www.coffeereview.com/review/cruz-loma/   
221   https://www.coffeereview.com/review/panama-eli...   
222   https://www.coffeereview.com/review/dancing-ti...   
223   https://www.coffeereview.com/review/ethiopia-b...   
224    https://www.coffeereview.com/review/rider-blend/   
225   https://www.coffeereview.com/review/el-salvado...   
226   https://www.coffeereview.com/review/dark-texas...   
227   https://www.coffeereview.com/review/panama-hac...   
228   https://www.coffeereview.com/review/quartet-ka...   
229   https://www.coffeereview.com/review/ethiopia-a...   
230   https://www.coffeereview.com/review/canet-musi...   
231   https://www.coffeereview.com/review/aoyama-esp...   
232   https://www.coffeereview.com/review/ethiopia-h...   
233   https://www.coffeereview.com/review/taiwan-nat...   
234   https://www.coffeereview.com/review/dreadnaugh...   
235   https://www.coffeereview.com/review/trident-ca...   
236   https://www.coffeereview.com/review/hawaii-kau...   
237   https://www.coffeereview.com/review/chelchele-...   
238   https://www.coffeereview.com/review/colombia-a...   
239   https://www.coffeereview.com/review/honeyed-fl...   
240   https://www.coffeereview.com/review/karamo-eth...   
241   https://www.coffeereview.com/review/caramel-ro...   
242   https://www.coffeereview.com/review/costa-rica...   
243   https://www.coffeereview.com/review/rwanda-kar...   
244   https://www.coffeereview.com/review/lone-peak-...   
245   https://www.coffeereview.com/review/el-salvado...   
246   https://www.coffeereview.com/review/colombia-g...   
247   https://www.coffeereview.com/review/ethiopia-r...   
248   https://www.coffeereview.com/review/kenya-nyer...   
249   https://www.coffeereview.com/review/honduras-m...   
250   https://www.coffeereview.com/review/costa-rica...   
251   https://www.coffeereview.com/review/ethiopia-s...   
252   https://www.coffeereview.com/review/ethiopia-g...   
253   https://www.coffeereview.com/review/colombia-h...   
254   https://www.coffeereview.com/review/costa-rica...   
255          https://www.coffeereview.com/review/joker/   
256   https://www.coffeereview.com/review/tropical-g...   
257   https://www.coffeereview.com/review/the-godfat...   
258   https://www.coffeereview.com/review/panama-sta...   
259   https://www.coffeereview.com/review/panama-la-...   
260   https://www.coffeereview.com/review/esmeralda-...   
261   https://www.coffeereview.com/review/costa-rica...   
262   https://www.coffeereview.com/review/costa-rica...   
263   https://www.coffeereview.com/review/john-co-tr...   
264   https://www.coffeereview.com/review/burundi-ki...   
265   https://www.coffeereview.com/review/colombia-p...   
